Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,185.580002,185.850006,181.850006,184.710007,179.123184,47062900
2020-02-13,183.080002,186.229996,182.869995,183.710007,178.153427,35295800
2020-02-14,183.250000,185.410004,182.649994,185.350006,179.743774,23149500
2020-02-18,185.610001,187.699997,185.500000,187.229996,181.566940,27792200
2020-02-19,188.059998,188.179993,186.470001,187.279999,182.111481,29997500
2020-02-20,186.949997,187.250000,181.100006,184.419998,179.330429,36862400
2020-02-21,183.169998,183.500000,177.250000,178.589996,173.661301,48572600
2020-02-24,167.770004,174.550003,163.229996,170.889999,166.173813,68311100
2020-02-25,174.199997,174.839996,167.649994,168.070007,163.431625,68073300
2020-02-26,169.710007,173.259995,168.210007,170.169998,165.473679,56206100
2020-02-27,163.320007,167.029999,157.979996,158.179993,153.814575,93174900
2020-02-28,152.410004,163.710007,152.000000,162.009995,157.538879,97012700
2020-03-02,165.309998,172.919998,162.309998,172.789993,168.021408,71030800
2020-03-03,173.800003,175.000000,162.259995,164.509995,159.969894,71677000
2020-03-04,168.490005,170.699997,165.619995,170.550003,165.843216,49814400
2020-03-05,166.050003,170.869995,165.690002,166.270004,161.681320,47817300
2020-03-06,162.610001,163.110001,156.000000,161.570007,157.111008,72821100
2020-03-09,151.000000,157.750000,150.000000,150.619995,146.463226,70419300
2020-03-10,158.160004,161.029999,152.580002,160.919998,156.478958,65354400
2020-03-11,157.130005,157.699997,151.149994,153.630005,149.390182,56371600
